mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,power_to_weight
18.0,8,307.0,130.0,3504.0,12.0,70,USA,chevrolet chevelle malibu,0.037100456621004564
15.0,8,350.0,165.0,3693.0,11.5,70,USA,buick skylark 320,0.04467912266450041
18.0,8,318.0,150.0,3436.0,11.0,70,USA,plymouth satellite,0.043655413271245634
16.0,8,304.0,150.0,3433.0,12.0,70,USA,amc rebel sst,0.043693562481794346
17.0,8,302.0,140.0,3449.0,10.5,70,USA,ford torino,0.04059147579008408
15.0,8,429.0,198.0,4341.0,10.0,70,USA,ford galaxie 500,0.04561161022805805
14.0,8,454.0,220.0,4354.0,9.0,70,USA,chevrolet impala,0.050528249885163065
14.0,8,440.0,215.0,4312.0,8.5,70,USA,plymouth fury iii,0.049860853432282005
14.0,8,455.0,225.0,4425.0,10.0,70,USA,pontiac catalina,0.05084745762711865
15.0,8,390.0,190.0,3850.0,8.5,70,USA,amc ambassador dpl,0.04935064935064935
15.0,8,383.0,170.0,3563.0,10.0,70,USA,dodge challenger se,0.04771260174010665
14.0,8,340.0,160.0,3609.0,8.0,70,USA,plymouth 'cuda 340,0.04433361041839845
15.0,8,400.0,150.0,3761.0,9.5,70,USA,chevrolet monte carlo,0.03988300983780909
14.0,8,455.0,225.0,3086.0,10.0,70,USA,buick estate wagon (sw),0.0729099157485418
24.0,4,113.0,95.0,2372.0,15.0,70,Japan,toyota corona mark ii,0.04005059021922428
22.0,6,198.0,95.0,2833.0,15.5,70,USA,plymouth duster,0.03353335686551359
18.0,6,199.0,97.0,2774.0,15.5,70,USA,amc hornet,0.034967555875991346
21.0,6,200.0,85.0,2587.0,16.0,70,USA,ford maverick,0.032856590645535366
27.0,4,97.0,88.0,2130.0,14.5,70,Japan,datsun pl510,0.04131455399061033
26.0,4,97.0,46.0,1835.0,20.5,70,Europe,volkswagen 1131 deluxe sedan,0.025068119891008173
25.0,4,110.0,87.0,2672.0,17.5,70,Europe,peugeot 504,0.03255988023952096
24.0,4,107.0,90.0,2430.0,14.5,70,Europe,audi 100 ls,0.037037037037037035
25.0,4,104.0,95.0,2375.0,17.5,70,Europe,saab 99e,0.04
26.0,4,121.0,113.0,2234.0,12.5,70,Europe,bmw 2002,0.050581915846016116
21.0,6,199.0,90.0,2648.0,15.0,70,USA,amc gremlin,0.033987915407854986
10.0,8,360.0,215.0,4615.0,14.0,70,USA,ford f250,0.04658721560130011
10.0,8,307.0,200.0,4376.0,15.0,70,USA,chevy c20,0.04570383912248629
11.0,8,318.0,210.0,4382.0,13.5,70,USA,dodge d200,0.04792332268370607
9.0,8,304.0,193.0,4732.0,18.5,70,USA,hi 1200d,0.04078613693998309
27.0,4,97.0,88.0,2130.0,14.5,71,Japan,datsun pl510,0.04131455399061033
28.0,4,140.0,90.0,2264.0,15.5,71,USA,chevrolet vega 2300,0.03975265017667844
25.0,4,113.0,95.0,2228.0,14.0,71,Japan,toyota corona,0.042639138240574505
19.0,6,232.0,100.0,2634.0,13.0,71,USA,amc gremlin,0.037965072133637055
16.0,6,225.0,105.0,3439.0,15.5,71,USA,plymouth satellite custom,0.030532131433556268
17.0,6,250.0,100.0,3329.0,15.5,71,USA,chevrolet chevelle malibu,0.030039050765995796
19.0,6,250.0,88.0,3302.0,15.5,71,USA,ford torino 500,0.026650514839491216
18.0,6,232.0,100.0,3288.0,15.5,71,USA,amc matador,0.030413625304136254
14.0,8,350.0,165.0,4209.0,12.0,71,USA,chevrolet impala,0.039201710620099785
14.0,8,400.0,175.0,4464.0,11.5,71,USA,pontiac catalina brougham,0.03920250896057348
14.0,8,351.0,153.0,4154.0,13.5,71,USA,ford galaxie 500,0.03683196918632643
14.0,8,318.0,150.0,4096.0,13.0,71,USA,plymouth fury iii,0.03662109375
12.0,8,383.0,180.0,4955.0,11.5,71,USA,dodge monaco (sw),0.03632694248234107
13.0,8,400.0,170.0,4746.0,12.0,71,USA,ford country squire (sw),0.03581963758954909
13.0,8,400.0,175.0,5140.0,12.0,71,USA,pontiac safari (sw),0.03404669260700389
18.0,6,258.0,110.0,2962.0,13.5,71,USA,amc hornet sportabout (sw),0.03713706954760297
22.0,4,140.0,72.0,2408.0,19.0,71,USA,chevrolet vega (sw),0.029900332225913623
19.0,6,250.0,100.0,3282.0,15.0,71,USA,pontiac firebird,0.030469226081657527
18.0,6,250.0,88.0,3139.0,14.5,71,USA,ford mustang,0.028034405861739407
23.0,4,122.0,86.0,2220.0,14.0,71,USA,mercury capri 2000,0.03873873873873874
28.0,4,116.0,90.0,2123.0,14.0,71,Europe,opel 1900,0.04239284032030146
30.0,4,79.0,70.0,2074.0,19.5,71,Europe,peugeot 304,0.033751205400192864
30.0,4,88.0,76.0,2065.0,14.5,71,Europe,fiat 124b,0.036803874092009685
31.0,4,71.0,65.0,1773.0,19.0,71,Japan,toyota corolla 1200,0.03666102650874224
35.0,4,72.0,69.0,1613.0,18.0,71,Japan,datsun 1200,0.04277743335399876
27.0,4,97.0,60.0,1834.0,19.0,71,Europe,volkswagen model 111,0.03271537622682661
26.0,4,91.0,70.0,1955.0,20.5,71,USA,plymouth cricket,0.03580562659846547
24.0,4,113.0,95.0,2278.0,15.5,72,Japan,toyota corona hardtop,0.04170324846356453
25.0,4,97.5,80.0,2126.0,17.0,72,USA,dodge colt hardtop,0.03762935089369708
23.0,4,97.0,54.0,2254.0,23.5,72,Europe,volkswagen type 3,0.023957409050576754
20.0,4,140.0,90.0,2408.0,19.5,72,USA,chevrolet vega,0.03737541528239203
21.0,4,122.0,86.0,2226.0,16.5,72,USA,ford pinto runabout,0.03863432165318958
13.0,8,350.0,165.0,4274.0,12.0,72,USA,chevrolet impala,0.0386055217594759
14.0,8,400.0,175.0,4385.0,12.0,72,USA,pontiac catalina,0.039908779931584946
15.0,8,318.0,150.0,4135.0,13.5,72,USA,plymouth fury iii,0.036275695284159616
14.0,8,351.0,153.0,4129.0,13.0,72,USA,ford galaxie 500,0.03705497699200775
17.0,8,304.0,150.0,3672.0,11.5,72,USA,amc ambassador sst,0.04084967320261438
11.0,8,429.0,208.0,4633.0,11.0,72,USA,mercury marquis,0.044895316209799266
